source = 1
distance[1] = 0, parent[1] = 1, path[1] = 1
distance[467] = 3, parent[467] = 500, path[467] = 1 500 467
distance[468] = 2, parent[468] = 1, path[468] = 1 468
distance[469] = 2, parent[469] = 144, path[469] = 1 144 469
distance[470] = 2, parent[470] = 1, path[470] = 1 470
distance[471] = 3, parent[471] = 261, path[471] = 1 261 471
distance[472] = 2, parent[472] = 410, path[472] = 1 410 472
distance[473] = 2, parent[473] = 398, path[473] = 1 398 473
distance[474] = 2, parent[474] = 874, path[474] = 1 874 474
distance[475] = 2, parent[475] = 52, path[475] = 1 52 475
distance[476] = 2, parent[476] = 1, path[476] = 1 476
distance[477] = 3, parent[477] = 316, path[477] = 1 316 477
distance[478] = 2, parent[478] = 497, path[478] = 1 497 478
distance[479] = 3, parent[479] = 782, path[479] = 1 782 479
distance[480] = 2, parent[480] = 1, path[480] = 1 480
distance[481] = 3, parent[481] = 14, path[481] = 1 500 14 481
distance[482] = 3, parent[482] = 152, path[482] = 1 152 482
distance[483] = 3, parent[483] = 331, path[483] = 1 331 483
distance[484] = 3, parent[484] = 14, path[484] = 1 500 14 484
distance[485] = 3, parent[485] = 152, path[485] = 1 152 485
distance[486] = 2, parent[486] = 190, path[486] = 1 190 486
distance[487] = 2, parent[487] = 190, path[487] = 1 190 487
distance[488] = 2, parent[488] = 331, path[488] = 1 331 488
distance[489] = 2, parent[489] = 4, path[489] = 1 4 489
distance[490] = 2, parent[490] = 823, path[490] = 1 823 490
distance[491] = 2, parent[491] = 52, path[491] = 1 52 491
distance[492] = 2, parent[492] = 497, path[492] = 1 497 492
distance[493] = 3, parent[493] = 190, path[493] = 1 190 493
distance[494] = 2, parent[494] = 579, path[494] = 1 579 494
distance[495] = 1, parent[495] = 1, path[495] = 1 495
distance[496] = 3, parent[496] = 410, path[496] = 1 410 496
distance[497] = 1, parent[497] = 1, path[497] = 1 497
distance[498] = 2, parent[498] = 331, path[498] = 1 331 498
distance[499] = 2, parent[499] = 874, path[499] = 1 874 499
distance[500] = 1, parent[500] = 1, path[500] = 1 500
distance[501] = 2, parent[501] = 398, path[501] = 1 398 501
distance[502] = 1, parent[502] = 1, path[502] = 1 502
distance[503] = 2, parent[503] = 144, path[503] = 1 144 503
distance[504] = 3, parent[504] = 84, path[504] = 1 316 84 504
distance[505] = 2, parent[505] = 1, path[505] = 1 505
distance[506] = 2, parent[506] = 969, path[506] = 1 969 506
distance[507] = 2, parent[507] = 4, path[507] = 1 4 507
distance[508] = 2, parent[508] = 522, path[508] = 1 522 508
distance[509] = 3, parent[509] = 337, path[509] = 1 337 509
distance[510] = 2, parent[510] = 398, path[510] = 1 398 510
distance[511] = 2, parent[511] = 497, path[511] = 1 497 511
distance[512] = 2, parent[512] = 1, path[512] = 1 512
distance[513] = 3, parent[513] = 502, path[513] = 1 502 513
distance[514] = 2, parent[514] = 969, path[514] = 1 969 514
distance[515] = 2, parent[515] = 144, path[515] = 1 144 515
distance[516] = 3, parent[516] = 12, path[516] = 1 144 12 516
distance[517] = 3, parent[517] = 152, path[517] = 1 152 517
distance[518] = 2, parent[518] = 579, path[518] = 1 579 518
distance[519] = 2, parent[519] = 1, path[519] = 1 519
distance[520] = 2, parent[520] = 337, path[520] = 1 337 520
distance[521] = 2, parent[521] = 190, path[521] = 1 190 521
distance[522] = 1, parent[522] = 1, path[522] = 1 522
distance[523] = 3, parent[523] = 626, path[523] = 1 626 523
distance[524] = 3, parent[524] = 495, path[524] = 1 495 524
distance[525] = 2, parent[525] = 190, path[525] = 1 190 525
distance[526] = 2, parent[526] = 190, path[526] = 1 190 526
distance[527] = 2, parent[527] = 823, path[527] = 1 823 527
distance[528] = 3, parent[528] = 10, path[528] = 1 52 10 528
distance[529] = 3, parent[529] = 410, path[529] = 1 410 529
distance[530] = 3, parent[530] = 969, path[530] = 1 969 530
distance[531] = 2, parent[531] = 190, path[531] = 1 190 531
distance[532] = 3, parent[532] = 603, path[532] = 1 603 532
distance[533] = 3, parent[533] = 673, path[533] = 1 673 533
distance[534] = 2, parent[534] = 4, path[534] = 1 4 534
distance[535] = 2, parent[535] = 585, path[535] = 1 585 535
distance[536] = 1, parent[536] = 1, path[536] = 1 536
distance[537] = 2, parent[537] = 1, path[537] = 1 537
distance[538] = 2, parent[538] = 144, path[538] = 1 144 538
distance[539] = 2, parent[539] = 595, path[539] = 1 595 539
distance[540] = 2, parent[540] = 823, path[540] = 1 823 540
distance[541] = 3, parent[541] = 497, path[541] = 1 497 541
distance[542] = 3, parent[542] = 8, path[542] = 1 337 8 542
distance[543] = 2, parent[543] = 52, path[543] = 1 52 543
distance[544] = 2, parent[544] = 782, path[544] = 1 782 544
distance[545] = 3, parent[545] = 58, path[545] = 1 410 58 545
distance[546] = 2, parent[546] = 4, path[546] = 1 4 546
distance[547] = 2, parent[547] = 331, path[547] = 1 331 547
distance[548] = 2, parent[548] = 261, path[548] = 1 261 548
distance[549] = 3, parent[549] = 337, path[549] = 1 337 549
distance[550] = 2, parent[550] = 495, path[550] = 1 495 550
distance[551] = 2, parent[551] = 969, path[551] = 1 969 551
distance[552] = 2, parent[552] = 495, path[552] = 1 495 552
distance[553] = 2, parent[553] = 144, path[553] = 1 144 553
distance[554] = 2, parent[554] = 398, path[554] = 1 398 554
distance[555] = 2, parent[555] = 585, path[555] = 1 585 555
distance[556] = 2, parent[556] = 497, path[556] = 1 497 556
distance[557] = 2, parent[557] = 316, path[557] = 1 316 557
distance[558] = 2, parent[558] = 410, path[558] = 1 410 558
distance[559] = 2, parent[559] = 782, path[559] = 1 782 559
distance[560] = 3, parent[560] = 69, path[560] = 1 144 69 560
distance[561] = 2, parent[561] = 536, path[561] = 1 536 561
distance[562] = 2, parent[562] = 703, path[562] = 1 703 562
distance[563] = 2, parent[563] = 316, path[563] = 1 316 563
distance[564] = 2, parent[564] = 398, path[564] = 1 398 564
distance[565] = 3, parent[565] = 631, path[565] = 1 631 565
distance[566] = 2, parent[566] = 316, path[566] = 1 316 566
distance[567] = 3, parent[567] = 31, path[567] = 1 152 31 567
distance[568] = 3, parent[568] = 495, path[568] = 1 495 568
distance[569] = 3, parent[569] = 190, path[569] = 1 190 569
distance[570] = 2, parent[570] = 4, path[570] = 1 4 570
distance[571] = 2, parent[571] = 502, path[571] = 1 502 571
distance[572] = 2, parent[572] = 144, path[572] = 1 144 572
distance[573] = 2, parent[573] = 52, path[573] = 1 52 573
distance[574] = 2, parent[574] = 144, path[574] = 1 144 574
distance[575] = 2, parent[575] = 595, path[575] = 1 595 575
distance[576] = 2, parent[576] = 52, path[576] = 1 52 576
distance[577] = 2, parent[577] = 337, path[577] = 1 337 577
distance[578] = 3, parent[578] = 30, path[578] = 1 4 30 578
distance[579] = 1, parent[579] = 1, path[579] = 1 579
distance[580] = 2, parent[580] = 410, path[580] = 1 410 580
distance[581] = 3, parent[581] = 495, path[581] = 1 495 581
distance[582] = 2, parent[582] = 190, path[582] = 1 190 582
distance[583] = 2, parent[583] = 144, path[583] = 1 144 583
distance[584] = 2, parent[584] = 536, path[584] = 1 536 584
distance[585] = 1, parent[585] = 1, path[585] = 1 585
distance[586] = 2, parent[586] = 703, path[586] = 1 703 586
distance[587] = 2, parent[587] = 52, path[587] = 1 52 587
distance[588] = 2, parent[588] = 823, path[588] = 1 823 588
distance[589] = 2, parent[589] = 967, path[589] = 1 967 589
distance[590] = 2, parent[590] = 579, path[590] = 1 579 590
distance[591] = 2, parent[591] = 1, path[591] = 1 591
distance[592] = 3, parent[592] = 579, path[592] = 1 579 592
distance[593] = 2, parent[593] = 631, path[593] = 1 631 593
distance[594] = 2, parent[594] = 52, path[594] = 1 52 594
distance[595] = 1, parent[595] = 1, path[595] = 1 595
distance[596] = 2, parent[596] = 331, path[596] = 1 331 596
distance[597] = 3, parent[597] = 22, path[597] = 1 595 22 597
distance[598] = 2, parent[598] = 1, path[598] = 1 598
distance[599] = 3, parent[599] = 410, path[599] = 1 410 599
distance[600] = 2, parent[600] = 316, path[600] = 1 316 600
distance[601] = 2, parent[601] = 152, path[601] = 1 152 601
distance[602] = 2, parent[602] = 893, path[602] = 1 893 602
distance[603] = 1, parent[603] = 1, path[603] = 1 603
distance[604] = 2, parent[604] = 190, path[604] = 1 190 604
distance[605] = 3, parent[605] = 29, path[605] = 1 190 29 605
distance[606] = 2, parent[606] = 522, path[606] = 1 522 606
distance[607] = 2, parent[607] = 893, path[607] = 1 893 607
distance[608] = 3, parent[608] = 631, path[608] = 1 631 608
distance[609] = 2, parent[609] = 631, path[609] = 1 631 609
distance[610] = 2, parent[610] = 495, path[610] = 1 495 610
distance[611] = 2, parent[611] = 316, path[611] = 1 316 611
distance[612] = 2, parent[612] = 410, path[612] = 1 410 612
distance[613] = 3, parent[613] = 331, path[613] = 1 331 613
distance[614] = 3, parent[614] = 49, path[614] = 1 631 49 614
distance[615] = 2, parent[615] = 4, path[615] = 1 4 615
distance[616] = 2, parent[616] = 261, path[616] = 1 261 616
distance[617] = 2, parent[617] = 398, path[617] = 1 398 617
distance[618] = 2, parent[618] = 823, path[618] = 1 823 618
distance[619] = 3, parent[619] = 579, path[619] = 1 579 619
distance[620] = 2, parent[620] = 585, path[620] = 1 585 620
distance[621] = 2, parent[621] = 673, path[621] = 1 673 621
distance[622] = 2, parent[622] = 152, path[622] = 1 152 622
distance[623] = 3, parent[623] = 673, path[623] = 1 673 623
distance[624] = 3, parent[624] = 631, path[624] = 1 631 624
distance[625] = 2, parent[625] = 316, path[625] = 1 316 625
distance[626] = 1, parent[626] = 1, path[626] = 1 626
distance[627] = 2, parent[627] = 967, path[627] = 1 967 627
distance[628] = 2, parent[628] = 497, path[628] = 1 497 628
distance[629] = 2, parent[629] = 782, path[629] = 1 782 629
distance[630] = 2, parent[630] = 603, path[630] = 1 603 630
distance[631] = 1, parent[631] = 1, path[631] = 1 631
distance[632] = 2, parent[632] = 495, path[632] = 1 495 632
distance[633] = 2, parent[633] = 631, path[633] = 1 631 633
distance[634] = 2, parent[634] = 536, path[634] = 1 536 634
distance[635] = 2, parent[635] = 603, path[635] = 1 603 635
distance[636] = 3, parent[636] = 410, path[636] = 1 410 636
distance[637] = 2, parent[637] = 502, path[637] = 1 502 637
distance[638] = 2, parent[638] = 967, path[638] = 1 967 638
distance[639] = 2, parent[639] = 1, path[639] = 1 639
distance[640] = 2, parent[640] = 631, path[640] = 1 631 640
distance[641] = 2, parent[641] = 969, path[641] = 1 969 641
distance[642] = 2, parent[642] = 502, path[642] = 1 502 642
distance[643] = 2, parent[643] = 595, path[643] = 1 595 643
distance[644] = 2, parent[644] = 495, path[644] = 1 495 644
distance[645] = 2, parent[645] = 893, path[645] = 1 893 645
distance[646] = 2, parent[646] = 144, path[646] = 1 144 646
distance[647] = 3, parent[647] = 4, path[647] = 1 4 647
distance[648] = 2, parent[648] = 316, path[648] = 1 316 648
distance[649] = 3, parent[649] = 52, path[649] = 1 52 649
distance[650] = 3, parent[650] = 536, path[650] = 1 536 650
distance[651] = 3, parent[651] = 579, path[651] = 1 579 651
distance[652] = 2, parent[652] = 585, path[652] = 1 585 652
distance[653] = 2, parent[653] = 316, path[653] = 1 316 653
distance[654] = 2, parent[654] = 500, path[654] = 1 500 654
distance[655] = 2, parent[655] = 1, path[655] = 1 655
distance[656] = 2, parent[656] = 495, path[656] = 1 495 656
distance[657] = 2, parent[657] = 410, path[657] = 1 410 657
distance[658] = 2, parent[658] = 331, path[658] = 1 331 658
distance[659] = 3, parent[659] = 500, path[659] = 1 500 659
distance[660] = 3, parent[660] = 152, path[660] = 1 152 660
distance[661] = 2, parent[661] = 603, path[661] = 1 603 661
distance[662] = 3, parent[662] = 42, path[662] = 1 579 42 662
distance[663] = 3, parent[663] = 877, path[663] = 1 877 663
distance[664] = 2, parent[664] = 495, path[664] = 1 495 664
distance[665] = 2, parent[665] = 497, path[665] = 1 497 665
distance[666] = 2, parent[666] = 500, path[666] = 1 500 666
distance[667] = 2, parent[667] = 4, path[667] = 1 4 667
distance[668] = 2, parent[668] = 152, path[668] = 1 152 668
distance[669] = 3, parent[669] = 500, path[669] = 1 500 669
distance[670] = 2, parent[670] = 536, path[670] = 1 536 670
distance[671] = 2, parent[671] = 152, path[671] = 1 152 671
distance[672] = 2, parent[672] = 631, path[672] = 1 631 672
distance[673] = 1, parent[673] = 1, path[673] = 1 673
distance[674] = 3, parent[674] = 497, path[674] = 1 497 674
distance[675] = 2, parent[675] = 536, path[675] = 1 536 675
distance[676] = 2, parent[676] = 316, path[676] = 1 316 676
distance[677] = 3, parent[677] = 261, path[677] = 1 261 677
distance[678] = 2, parent[678] = 331, path[678] = 1 331 678
distance[679] = 2, parent[679] = 316, path[679] = 1 316 679
distance[680] = 2, parent[680] = 522, path[680] = 1 522 680
distance[681] = 2, parent[681] = 673, path[681] = 1 673 681
distance[682] = 2, parent[682] = 631, path[682] = 1 631 682
distance[683] = 2, parent[683] = 536, path[683] = 1 536 683
distance[684] = 3, parent[684] = 5, path[684] = 1 495 5 684
distance[685] = 2, parent[685] = 398, path[685] = 1 398 685
distance[686] = 3, parent[686] = 4, path[686] = 1 4 686
distance[687] = 2, parent[687] = 603, path[687] = 1 603 687
distance[688] = 2, parent[688] = 495, path[688] = 1 495 688
distance[689] = 2, parent[689] = 967, path[689] = 1 967 689
distance[690] = 2, parent[690] = 261, path[690] = 1 261 690
distance[691] = 2, parent[691] = 500, path[691] = 1 500 691
distance[692] = 3, parent[692] = 316, path[692] = 1 316 692
distance[693] = 2, parent[693] = 316, path[693] = 1 316 693
distance[694] = 2, parent[694] = 579, path[694] = 1 579 694
distance[695] = 2, parent[695] = 398, path[695] = 1 398 695
distance[696] = 2, parent[696] = 502, path[696] = 1 502 696
distance[697] = 2, parent[697] = 495, path[697] = 1 495 697
distance[698] = 2, parent[698] = 190, path[698] = 1 190 698
distance[699] = 3, parent[699] = 66, path[699] = 1 4 66 699
distance[700] = 3, parent[700] = 42, path[700] = 1 579 42 700
distance[701] = 2, parent[701] = 144, path[701] = 1 144 701
distance[702] = 2, parent[702] = 52, path[702] = 1 52 702
distance[703] = 1, parent[703] = 1, path[703] = 1 703
distance[704] = 2, parent[704] = 190, path[704] = 1 190 704
distance[705] = 3, parent[705] = 579, path[705] = 1 579 705
distance[706] = 2, parent[706] = 1, path[706] = 1 706
distance[707] = 2, parent[707] = 331, path[707] = 1 331 707
distance[708] = 2, parent[708] = 500, path[708] = 1 500 708
distance[709] = 2, parent[709] = 626, path[709] = 1 626 709
distance[710] = 3, parent[710] = 22, path[710] = 1 595 22 710
distance[711] = 3, parent[711] = 874, path[711] = 1 874 711
distance[712] = 2, parent[712] = 4, path[712] = 1 4 712
distance[713] = 3, parent[713] = 26, path[713] = 1 4 26 713
distance[714] = 2, parent[714] = 331, path[714] = 1 331 714
distance[715] = 2, parent[715] = 398, path[715] = 1 398 715
distance[716] = 2, parent[716] = 500, path[716] = 1 500 716
distance[717] = 3, parent[717] = 673, path[717] = 1 673 717
distance[718] = 2, parent[718] = 152, path[718] = 1 152 718
distance[719] = 2, parent[719] = 144, path[719] = 1 144 719
distance[720] = 2, parent[720] = 398, path[720] = 1 398 720
distance[721] = 2, parent[721] = 967, path[721] = 1 967 721
distance[722] = 2, parent[722] = 500, path[722] = 1 500 722
distance[723] = 2, parent[723] = 144, path[723] = 1 144 723
distance[724] = 2, parent[724] = 337, path[724] = 1 337 724
distance[725] = 3, parent[725] = 337, path[725] = 1 337 725
distance[726] = 2, parent[726] = 500, path[726] = 1 500 726
distance[727] = 2, parent[727] = 500, path[727] = 1 500 727
distance[728] = 3, parent[728] = 967, path[728] = 1 967 728
distance[729] = 2, parent[729] = 495, path[729] = 1 495 729
distance[730] = 2, parent[730] = 673, path[730] = 1 673 730
distance[731] = 2, parent[731] = 152, path[731] = 1 152 731
distance[732] = 2, parent[732] = 823, path[732] = 1 823 732
distance[733] = 2, parent[733] = 495, path[733] = 1 495 733
distance[734] = 3, parent[734] = 536, path[734] = 1 536 734
distance[735] = 2, parent[735] = 536, path[735] = 1 536 735
distance[736] = 2, parent[736] = 261, path[736] = 1 261 736
distance[737] = 2, parent[737] = 52, path[737] = 1 52 737
distance[738] = 2, parent[738] = 536, path[738] = 1 536 738
distance[739] = 2, parent[739] = 782, path[739] = 1 782 739
distance[740] = 3, parent[740] = 152, path[740] = 1 152 740
distance[741] = 2, parent[741] = 673, path[741] = 1 673 741
distance[742] = 2, parent[742] = 631, path[742] = 1 631 742
distance[743] = 2, parent[743] = 152, path[743] = 1 152 743
distance[744] = 2, parent[744] = 398, path[744] = 1 398 744
distance[745] = 2, parent[745] = 261, path[745] = 1 261 745
distance[746] = 2, parent[746] = 585, path[746] = 1 585 746
distance[747] = 2, parent[747] = 316, path[747] = 1 316 747
distance[748] = 2, parent[748] = 703, path[748] = 1 703 748
distance[749] = 2, parent[749] = 502, path[749] = 1 502 749
distance[750] = 2, parent[750] = 316, path[750] = 1 316 750
distance[751] = 2, parent[751] = 152, path[751] = 1 152 751
distance[752] = 2, parent[752] = 536, path[752] = 1 536 752
distance[753] = 2, parent[753] = 152, path[753] = 1 152 753
distance[754] = 2, parent[754] = 579, path[754] = 1 579 754
distance[755] = 2, parent[755] = 52, path[755] = 1 52 755
distance[756] = 2, parent[756] = 823, path[756] = 1 823 756
distance[757] = 2, parent[757] = 823, path[757] = 1 823 757
distance[758] = 2, parent[758] = 522, path[758] = 1 522 758
distance[759] = 2, parent[759] = 316, path[759] = 1 316 759
distance[760] = 2, parent[760] = 536, path[760] = 1 536 760
distance[761] = 2, parent[761] = 337, path[761] = 1 337 761
distance[762] = 2, parent[762] = 316, path[762] = 1 316 762
distance[763] = 2, parent[763] = 144, path[763] = 1 144 763
distance[764] = 3, parent[764] = 30, path[764] = 1 4 30 764
distance[765] = 3, parent[765] = 782, path[765] = 1 782 765
distance[766] = 3, parent[766] = 26, path[766] = 1 4 26 766
distance[767] = 2, parent[767] = 4, path[767] = 1 4 767
distance[768] = 2, parent[768] = 52, path[768] = 1 52 768
distance[769] = 2, parent[769] = 585, path[769] = 1 585 769
distance[770] = 2, parent[770] = 410, path[770] = 1 410 770
distance[771] = 3, parent[771] = 261, path[771] = 1 261 771
distance[772] = 3, parent[772] = 893, path[772] = 1 893 772
distance[773] = 2, parent[773] = 337, path[773] = 1 337 773
distance[774] = 2, parent[774] = 316, path[774] = 1 316 774
distance[775] = 3, parent[775] = 410, path[775] = 1 410 775
distance[776] = 3, parent[776] = 595, path[776] = 1 595 776
distance[777] = 3, parent[777] = 316, path[777] = 1 316 777
distance[778] = 2, parent[778] = 261, path[778] = 1 261 778
distance[779] = 2, parent[779] = 1, path[779] = 1 779
distance[780] = 2, parent[780] = 52, path[780] = 1 52 780
distance[781] = 3, parent[781] = 44, path[781] = 1 673 44 781
distance[782] = 1, parent[782] = 1, path[782] = 1 782
distance[783] = 2, parent[783] = 522, path[783] = 1 522 783
distance[784] = 2, parent[784] = 398, path[784] = 1 398 784
distance[785] = 2, parent[785] = 536, path[785] = 1 536 785
distance[786] = 2, parent[786] = 337, path[786] = 1 337 786
distance[787] = 2, parent[787] = 190, path[787] = 1 190 787
distance[788] = 2, parent[788] = 4, path[788] = 1 4 788
distance[789] = 3, parent[789] = 54, path[789] = 1 497 54 789
distance[790] = 2, parent[790] = 144, path[790] = 1 144 790
distance[791] = 2, parent[791] = 331, path[791] = 1 331 791
distance[792] = 2, parent[792] = 152, path[792] = 1 152 792
distance[793] = 2, parent[793] = 626, path[793] = 1 626 793
distance[794] = 2, parent[794] = 782, path[794] = 1 782 794
distance[795] = 3, parent[795] = 497, path[795] = 1 497 795
distance[796] = 2, parent[796] = 190, path[796] = 1 190 796
distance[797] = 2, parent[797] = 316, path[797] = 1 316 797
distance[798] = 2, parent[798] = 536, path[798] = 1 536 798
distance[799] = 2, parent[799] = 877, path[799] = 1 877 799
distance[800] = 2, parent[800] = 595, path[800] = 1 595 800
distance[801] = 3, parent[801] = 4, path[801] = 1 4 801
distance[802] = 2, parent[802] = 495, path[802] = 1 495 802
distance[803] = 3, parent[803] = 500, path[803] = 1 500 803
distance[804] = 3, parent[804] = 782, path[804] = 1 782 804
distance[805] = 2, parent[805] = 52, path[805] = 1 52 805
distance[806] = 2, parent[806] = 331, path[806] = 1 331 806
distance[807] = 3, parent[807] = 595, path[807] = 1 595 807
distance[808] = 2, parent[808] = 603, path[808] = 1 603 808
distance[809] = 2, parent[809] = 316, path[809] = 1 316 809
distance[810] = 3, parent[810] = 495, path[810] = 1 495 810
distance[811] = 2, parent[811] = 337, path[811] = 1 337 811
distance[812] = 2, parent[812] = 190, path[812] = 1 190 812
distance[813] = 2, parent[813] = 144, path[813] = 1 144 813
distance[814] = 2, parent[814] = 190, path[814] = 1 190 814
distance[815] = 3, parent[815] = 500, path[815] = 1 500 815
distance[816] = 2, parent[816] = 703, path[816] = 1 703 816
distance[817] = 2, parent[817] = 261, path[817] = 1 261 817
distance[818] = 2, parent[818] = 144, path[818] = 1 144 818
distance[819] = 2, parent[819] = 337, path[819] = 1 337 819
distance[820] = 2, parent[820] = 261, path[820] = 1 261 820
distance[821] = 2, parent[821] = 190, path[821] = 1 190 821
distance[822] = 2, parent[822] = 626, path[822] = 1 626 822
distance[823] = 1, parent[823] = 1, path[823] = 1 823
distance[824] = 2, parent[824] = 585, path[824] = 1 585 824
distance[825] = 2, parent[825] = 410, path[825] = 1 410 825
distance[826] = 3, parent[826] = 398, path[826] = 1 398 826
distance[827] = 2, parent[827] = 331, path[827] = 1 331 827
distance[828] = 2, parent[828] = 782, path[828] = 1 782 828
distance[829] = 2, parent[829] = 398, path[829] = 1 398 829
distance[830] = 2, parent[830] = 585, path[830] = 1 585 830
distance[831] = 3, parent[831] = 190, path[831] = 1 190 831
distance[832] = 2, parent[832] = 500, path[832] = 1 500 832
distance[833] = 2, parent[833] = 4, path[833] = 1 4 833
distance[834] = 2, parent[834] = 877, path[834] = 1 877 834
distance[835] = 2, parent[835] = 331, path[835] = 1 331 835
distance[836] = 2, parent[836] = 877, path[836] = 1 877 836
distance[837] = 2, parent[837] = 144, path[837] = 1 144 837
distance[838] = 2, parent[838] = 500, path[838] = 1 500 838
distance[839] = 3, parent[839] = 152, path[839] = 1 152 839
distance[840] = 2, parent[840] = 536, path[840] = 1 536 840
distance[841] = 2, parent[841] = 316, path[841] = 1 316 841
distance[842] = 2, parent[842] = 152, path[842] = 1 152 842
distance[843] = 2, parent[843] = 874, path[843] = 1 874 843
distance[844] = 3, parent[844] = 316, path[844] = 1 316 844
distance[845] = 2, parent[845] = 152, path[845] = 1 152 845
distance[846] = 2, parent[846] = 1, path[846] = 1 846
distance[847] = 3, parent[847] = 603, path[847] = 1 603 847
distance[848] = 2, parent[848] = 495, path[848] = 1 495 848
distance[849] = 2, parent[849] = 331, path[849] = 1 331 849
distance[850] = 2, parent[850] = 4, path[850] = 1 4 850
distance[851] = 3, parent[851] = 35, path[851] = 1 877 35 851
distance[852] = 2, parent[852] = 595, path[852] = 1 595 852
distance[853] = 2, parent[853] = 144, path[853] = 1 144 853
distance[854] = 3, parent[854] = 144, path[854] = 1 144 854
distance[855] = 2, parent[855] = 1, path[855] = 1 855
distance[856] = 2, parent[856] = 52, path[856] = 1 52 856
distance[857] = 2, parent[857] = 152, path[857] = 1 152 857
distance[858] = 2, parent[858] = 631, path[858] = 1 631 858
distance[859] = 2, parent[859] = 331, path[859] = 1 331 859
distance[860] = 2, parent[860] = 967, path[860] = 1 967 860
distance[861] = 2, parent[861] = 626, path[861] = 1 626 861
distance[862] = 2, parent[862] = 4, path[862] = 1 4 862
distance[863] = 3, parent[863] = 29, path[863] = 1 190 29 863
distance[864] = 2, parent[864] = 52, path[864] = 1 52 864
distance[865] = 3, parent[865] = 673, path[865] = 1 673 865
distance[866] = 2, parent[866] = 52, path[866] = 1 52 866
distance[867] = 2, parent[867] = 331, path[867] = 1 331 867
distance[868] = 2, parent[868] = 874, path[868] = 1 874 868
distance[869] = 2, parent[869] = 967, path[869] = 1 967 869
distance[870] = 2, parent[870] = 585, path[870] = 1 585 870
distance[871] = 3, parent[871] = 316, path[871] = 1 316 871
distance[872] = 3, parent[872] = 4, path[872] = 1 4 872
distance[873] = 2, parent[873] = 337, path[873] = 1 337 873
distance[874] = 1, parent[874] = 1, path[874] = 1 874
distance[875] = 2, parent[875] = 190, path[875] = 1 190 875
distance[876] = 2, parent[876] = 782, path[876] = 1 782 876
distance[877] = 1, parent[877] = 1, path[877] = 1 877
distance[878] = 3, parent[878] = 969, path[878] = 1 969 878
distance[879] = 2, parent[879] = 497, path[879] = 1 497 879
distance[880] = 2, parent[880] = 144, path[880] = 1 144 880
distance[881] = 2, parent[881] = 823, path[881] = 1 823 881
distance[882] = 2, parent[882] = 398, path[882] = 1 398 882
distance[883] = 2, parent[883] = 152, path[883] = 1 152 883
distance[884] = 3, parent[884] = 703, path[884] = 1 703 884
distance[885] = 3, parent[885] = 152, path[885] = 1 152 885
distance[886] = 2, parent[886] = 495, path[886] = 1 495 886
distance[887] = 2, parent[887] = 603, path[887] = 1 603 887
distance[888] = 3, parent[888] = 14, path[888] = 1 500 14 888
distance[889] = 2, parent[889] = 144, path[889] = 1 144 889
distance[890] = 2, parent[890] = 261, path[890] = 1 261 890
distance[891] = 2, parent[891] = 500, path[891] = 1 500 891
distance[892] = 2, parent[892] = 4, path[892] = 1 4 892
distance[893] = 1, parent[893] = 1, path[893] = 1 893
distance[894] = 3, parent[894] = 190, path[894] = 1 190 894
distance[895] = 2, parent[895] = 144, path[895] = 1 144 895
distance[896] = 3, parent[896] = 410, path[896] = 1 410 896
distance[897] = 2, parent[897] = 144, path[897] = 1 144 897
distance[898] = 3, parent[898] = 626, path[898] = 1 626 898
distance[899] = 3, parent[899] = 29, path[899] = 1 190 29 899
distance[900] = 2, parent[900] = 331, path[900] = 1 331 900
distance[901] = 2, parent[901] = 497, path[901] = 1 497 901
distance[902] = 3, parent[902] = 337, path[902] = 1 337 902
distance[903] = 2, parent[903] = 4, path[903] = 1 4 903
distance[904] = 2, parent[904] = 190, path[904] = 1 190 904
distance[905] = 2, parent[905] = 4, path[905] = 1 4 905
distance[906] = 2, parent[906] = 536, path[906] = 1 536 906
distance[907] = 2, parent[907] = 874, path[907] = 1 874 907
distance[908] = 2, parent[908] = 4, path[908] = 1 4 908
distance[909] = 2, parent[909] = 144, path[909] = 1 144 909
distance[910] = 2, parent[910] = 316, path[910] = 1 316 910
distance[911] = 3, parent[911] = 152, path[911] = 1 152 911
distance[912] = 2, parent[912] = 316, path[912] = 1 316 912
distance[913] = 2, parent[913] = 579, path[913] = 1 579 913
distance[914] = 3, parent[914] = 595, path[914] = 1 595 914
distance[915] = 2, parent[915] = 410, path[915] = 1 410 915
distance[916] = 2, parent[916] = 874, path[916] = 1 874 916
distance[917] = 2, parent[917] = 261, path[917] = 1 261 917
distance[918] = 3, parent[918] = 35, path[918] = 1 877 35 918
distance[919] = 2, parent[919] = 497, path[919] = 1 497 919
distance[920] = 3, parent[920] = 536, path[920] = 1 536 920
distance[921] = 2, parent[921] = 261, path[921] = 1 261 921
distance[922] = 3, parent[922] = 874, path[922] = 1 874 922
distance[923] = 2, parent[923] = 500, path[923] = 1 500 923
distance[924] = 2, parent[924] = 497, path[924] = 1 497 924
distance[925] = 2, parent[925] = 52, path[925] = 1 52 925
distance[926] = 2, parent[926] = 398, path[926] = 1 398 926
distance[927] = 3, parent[927] = 152, path[927] = 1 152 927
distance[928] = 2, parent[928] = 495, path[928] = 1 495 928
distance[929] = 3, parent[929] = 190, path[929] = 1 190 929
distance[930] = 2, parent[930] = 190, path[930] = 1 190 930
distance[931] = 2, parent[931] = 500, path[931] = 1 500 931
distance[932] = 2, parent[932] = 603, path[932] = 1 603 932
